Iniciando Lottery Test (CSV mode)...
time,A_ticks,B_ticks,C_ticks
10,79,56,12
20,96,64,14
30,138,81,26
40,175,99,36
50,187,114,39
60,215,137,48
70,299,182,70
80,353,208,76
90,374,220,81
100,385,229,81
110,395,233,82
120,508,304,124
130,533,321,131
140,538,327,138
150,566,341,150
160,577,349,154
170,633,380,174
180,665,399,184
190,671,401,186
200,691,408,195
210,718,423,202
220,834,498,226
230,842,501,227
240,860,510,233
250,942,560,263
260,964,567,266
270,989,587,271
280,1087,653,304
290,1104,663,310
300,1197,724,342
310,1215,741,349
320,1226,746,350
330,1230,754,350
340,1291,795,366
350,1368,843,392
360,1538,990,458
370,1560,1010,465
380,1606,1045,476
390,1653,1072,493
400,1671,1087,499
410,1681,1094,504
420,1727,1124,520
430,1736,1129,524
440,1747,1142,527
450,1792,1174,542
460,1797,1182,543
470,1812,1206,548
480,1876,1250,564
490,1967,1314,603
500,2031,1352,628
Teste finalizado.
